Taxon,habitat
Milium effusum,ruderal
Myosotis sylvatica,ruderal
Ranunculus acris,ruderal
Fragaria vesca,ruderal
Hypericum maculatum,ruderal
Gnaphalium sylvaticum,ruderal
Rubus hirtus agg.,ruderal
Salix caprea,ruderal
Salix racemosa,ruderal
Senecio hercynicus,ruderal
Sorbus aucuparia,ruderal
Bromus benekenii,ruderal
Acer campestre,ruderal
Arrhenatherum elatius,ruderal
Astragalus glycyphyllos,ruderal
Inula conyzae,ruderal
Securigera varia,ruderal
Stachys alpina,ruderal
Cornus sanguinea,ruderal
Verbascum chaixii subsp. austriacum,ruderal
Clinopodium vulgare,ruderal
Hordelymus europaeus,ruderal
Lonicera xylosteum,ruderal
Origanum vulgare,ruderal
Verbascum nigrum,ruderal
Rubus guentheri,ruderal
Dentaria enneaphyllos,ruderal
Rubus sect. Corylifolii,ruderal
Galium mollugo,ruderal
Adenostyles alliariae,ruderal
Athyrium distentifolium,ruderal
Arabidopsis halleri,ruderal
Gentiana asclepiadea,ruderal
Homogyne alpina,ruderal
Lonicera nigra,ruderal
Luzula sylvatica,ruderal
Salix silesiaca,ruderal
Thalictrum aquilegiifolium,ruderal
Valeriana excelsa subsp. sambucifolia,ruderal
Lysimachia nemorum,ruderal
Campanula glomerata,ruderal
Clematis alpina,ruderal
Galium intermedium,ruderal
Tanacetum clusii,ruderal
Phyteuma spicatum,ruderal
Ranunculus platanifolius,ruderal
Hylotelephium argutum,ruderal
Valeriana tripteris,ruderal
Adoxa moschatellina,ruderal
Agrostis rupestris,ruderal
Ligusticum mutellina,ruderal
Potentilla aurea,ruderal
Vaccinium vitis-idaea,ruderal
Sambucus racemosa,ruderal
Betula pendula,ruderal
Anthoxanthum odoratum,ruderal
Festuca psammophila subsp. dominii,ruderal
Festuca psammophila subsp. psammophila,ruderal
Pilosella officinarum,ruderal
Thymus serpyllum,ruderal
Spergula pentandra agg.,sand
Stipa capillata,sand
Erysimum diffusum agg.,sand
Setaria pumila,sand
Euphorbia seguieriana subsp. seguieriana,sand
Crepis foetida,sand
Centaurea stoebe,sand
Filago arvensis,sand
Poa compressa,sand
Ventenata dubia,sand
Galeopsis ladanum,sand
Aira elegans,sand
Melica ciliata,dry grassland
